Company Name,Industry,Symbol,ISIN Code,Price Per Share
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,INE742F01042,730.05
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,INE021A01026,2536.4
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,INE238A01034,714.9
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJAUTO,INE917I01010,3833.75
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,INE918I01018,11041.65
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,INE296A01024,5451.9
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,INE397D01024,536.75
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,INE029A01011,421.8
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,INE216A01030,3449
Cipla Ltd.,PHARMA,CIPLA,INE059A01026,910.35
Coal India Ltd.,METALS,COALINDIA,INE522F01014,133.05
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,INE089A01023,5163.1
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,INE066A01013,2421.65
GAIL (India) Ltd.,ENERGY,GAIL,INE129A01019,137.2
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,INE047A01021,1401.75
HCL Technologies Ltd.,IT,HCLTECH,INE860A01027,898.95
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,INE001A01036,2420.1
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,INE040A01034,1412.3
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,INE158A01026,2819.15
Hindalco Industries Ltd.,METALS,HINDALCO,INE038A01020,364.4
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,INE030A01027,2353.75
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,INE090A01021,600.5
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,INE095A01012,934.95
Bharti Infratel Ltd.,TELECOM,INFRATEL,INE121J01017,4327.35
Infosys Ltd.,IT,INFY,INE009A01021,1354.35
Indian Oil Corporation Ltd.,ENERGY,IOC,INE242A01010,90.85
ITC Ltd.,CONSUMER GOODS,ITC,INE154A01025,202.6
JSW Steel Ltd.,METALS,JSWSTEEL,INE019A01038,717.85
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,INE237A01028,1748.8
Larsen & Toubro Ltd.,CONSTRUCTION,LT,INE018A01030,1340.45
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,INE101A01026,752.55
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,INE585B01010,6455.65
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,INE239A01016,16309.25
NTPC Ltd.,ENERGY,NTPC,INE733E01010,102.45
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,INE213A01029,108.15
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,INE752E01010,220.05
Reliance Industries Ltd.,ENERGY,RELIANCE,INE002A01018,1994.5
State Bank of India,FINANCIAL SERVICES,SBIN,INE062A01020,353.5
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,INE070A01015,27910.5
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,INE044A01036,654.45
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,INE155A01022,293.85
Tata Steel Ltd.,METALS,TATASTEEL,INE081A01012,1034
Tata Consultancy Services Ltd.,IT,TCS,INE467B01029,3035.65
Tech Mahindra Ltd.,IT,TECHM,INE669C01036,960.4
Titan Company Ltd.,CONSUMER GOODS,TITAN,INE280A01028,1491.65
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,INE481G01011,6278.95
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,INE628A01036,606.9
Vedanta Ltd.,METALS,VEDL,INE205A01025,257.25
Wipro Ltd.,IT,WIPRO,INE075A01022,492.75
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,INE256A01028,185.6
